"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"YOS404","2017.0","38.0","09/19/2017 09:00:00","09/26/2017 08:00:00","0.179","0.382","0.292","0.503","0.787","0.14","0.074","0.123","0.024","0.05","0.015"
"YOS404","2013.0","39.0","09/24/2013 09:00:00","10/01/2013 08:00:00","0.248","0.367","0.276","0.596","0.862","0.147","0.075","0.09","0.022","0.03","0.015"
"YOS404","2014.0","37.0","09/09/2014 09:00:00","09/16/2014 08:00:00","0.353","0.935","0.439","1.126","1.547","0.42","0.181","0.111","0.035","0.101","0.013"
"YOS404","2014.0","40.0","09/30/2014 09:00:00","10/07/2014 08:00:00","0.326","0.585","0.231","0.657","0.877","0.265","0.106","0.074","0.023","0.037","0.014"
"YOS404","2015.0","38.0","09/15/2015 09:00:00","09/22/2015 08:00:00","0.374","0.649","0.485","0.774","1.247","0.251","0.129","0.157","0.036","0.045","0.014"
"YOS404","2014.0","39.0","09/23/2014 09:00:00","09/30/2014 08:00:00","0.281","0.567","0.316","0.858","1.161","0.168","0.134","0.093","0.029","0.047","0.015"
"YOS404","2014.0","38.0","09/16/2014 09:00:00","09/23/2014 08:00:00","0.305","0.831","0.442","0.909","1.337","0.416","0.192","0.124","0.038","0.067","0.014"
"YOS404","2016.0","40.0","09/27/2016 09:00:00","10/04/2016 08:00:00","0.444","0.623","0.565","0.634","1.189","0.272","0.261","0.125","0.049","0.09","0.051"
"YOS404","2016.0","39.0","09/20/2016 09:00:00","09/27/2016 08:00:00","0.395","0.578","0.403","0.62","1.013","0.254","0.199","0.116","0.04","0.113","0.025"
"YOS404","2013.0","38.0","09/17/2013 09:00:00","09/24/2013 08:00:00","0.274","0.529","0.297","0.725","1.011","0.116","0.196","0.107","0.042","0.057","0.014"
"YOS404","2015.0","40.0","09/29/2015 09:00:00","10/06/2015 08:00:00","0.527","0.672","1.089","0.856","1.932","0.23","0.215","0.356","0.065","0.072","0.184"
"YOS404","2015.0","39.0","09/22/2015 09:00:00","09/29/2015 08:00:00","0.673","0.743","0.636","0.904","1.526","0.328","0.186","0.169","0.043","0.058","0.014"
"YOS404","2014.0","36.0","09/02/2014 09:00:00","09/09/2014 08:00:00","0.55","0.889","0.925","0.946","1.856","0.41","0.279","0.243","0.061","0.107","0.027"
